ambitious,overambitious
arching,overarching
booked,overbooked
charged,overcharged
compensated,overcompensated
confident,overconfident
cooked,overcooked
crowded,overcrowded
developed,overdeveloped
done,overdone
dressed,overdressed
enthusiastic,overenthusiastic
excited,overexcited
exposed,overexposed
filled,overfilled
grown,overgrown
heard,overheard
heated,overheated
inflated,overinflated
laid,overlaid
loaded,overloaded
optimistic,overoptimistic
paid,overpaid
painted,overpainted
played,overplayed
populated,overpopulated
powered,overpowered
protected,overprotected
protective,overprotective
qualified,overqualified
represented,overrepresented
saturated,oversaturated
shadowed,overshadowed
simplified,oversimplified
sized,oversized
sold,oversold
spent,overspent
stated,overstated
stimulated,overstimulated
stocked,overstocked
strained,overstrained
stressed,overstressed
stretched,overstretched
subscribed,oversubscribed
taken,overtaken
thrown,overthrown
turned,overturned
used,overused
written,overwritten
zealous,overzealous
