andorra,catalan
argentina,spanish
australia,english
austria,german
bahamas,english
bangladesh,bengali
barbados,english
belize,english
bolivia,spanish
brazil,portuguese
cambodia,khmer
canada,english
chile,spanish
colombia,spanish
cuba,spanish
cyprus,greek
denmark,danish
ecuador,spanish
egypt,arabic
ethiopia,amharic
fiji,english
guadeloupe,french
guam,english
guatemala,spanish
guyana,english
haiti,creole
iran,persian
iraq,arabic
ireland,english
israel,hebrew
jamaica,english
jordan,arabic
kazakhstan,kazak
kosovo,albanian
kuwait,arabic
mexico,spanish
moldova,moldovan
morocco,berber
mozambique,portuguese
netherlands,dutch
nicaragua,spanish
norway,norwegian
palestine,arabic
peru,spanish
philippines,tagalog
switzerland,german
syria,arabic
taiwan,chinese
usa,english
venezuela,spanish
