ant,anthill
ape,grove
baboon,grove
bat,cave
bear,den
beaver,dam
bee,hive
cattle,barn
chimpanzee,grove
chinchilla,nest
cockroach,nest
cricket,nest
crocodile,river
crow,nest
dog,doghouse
dolphin,sea
duck,pond
fish,sea
fly,nest
fox,den
goldfish,pond
gorilla,grove
hamster,nest
hedgehog,nest
herring,sea
hippopotamus,river
hornet,nest
horse,stable
insect,nest
lion,den
locust,nest
mallard,nest
mole,hole
monkey,tree
mouse,nest
pig,sty
rabbit,burrow
rat,nest
raven,nest
scorpion,nest
seal,den
snake,nest
spider,web
termite,hill
tiger,den
trout,river
wasp,nest
whale,sea
wolf,den
woodchuck,hole
