armchair,chair
blender,appliance
bracelet,jewelry
brooch,jewelry
cake,dessert
computer,device
croissant,pastry
cup,tableware
denim,fabric
deodorant,toiletry
desk,furniture
diary,journal
dishwasher,appliance
dress,clothes
fridge,appliance
gasoline,fuel
grapefruit,citrus
hairnet,net
hairpin,pin
hamburger,sandwich
jacket,clothes
jeans,trousers
juicer,utensil
lemon,citrus
lotion,toiletry
mascara,makeup
necklace,jewelry
notebook,book
notepad,pad
pastry,food
peach,fruit
perfume,toiletry
photo,picture
pie,pastry
plum,fruit
postcard,card
shelf,furniture
shirt,clothes
sidewalk,walk
skirt,clothes
sofa,furniture
stapler,device
sunscreen,cream
sweater,clothes
toaster,appliance
toothbrush,brush
tub,container
tv,device
vase,jar
wristband,band
