backpack,daypack
bag,pouch
bed,bunk
boat,ferry
book,paperback
brush,toothbrush
burger,hamburger
camera,camcorder
candy,lollipop
car,limousine
church,chapel
citrus,lemon
cloud,thundercloud
collar,choker
color,white
computer,laptop
container,bag
cookware,pot
cup,teacup
cushion,pincushion
cutlery,knife
dessert,cake
dress,gown
drum,tambourine
emotion,anger
flask,thermos
guitar,ukulele
gun,rifle
jewel,diamond
jewelry,bracelet
mixer,blender
month,january
oven,broiler
painting,watercolor
poem,haiku
railway,monorail
season,spring
seat,chair
shelf,bookshelf
shirt,polo
shoes,sneakers
sofa,divan
song,lullaby
spice,pepper
sweater,turtleneck
tool,rake
toy,doll
trousers,jeans
weapon,gun
weekday,monday
