atmosphere,gas
bag,leather
beach,sand
beard,hair
body,flesh
boots,leather
bottle,glass
bowl,glass
box,cardboard
bread,flour
bronze,copper
candy,sugar
chocolate,cocoa
clothing,fabric
cloud,vapor
cocktail,alcohol
concrete,silicon
desk,wood
diamond,carbon
doorknob,metal
flag,fabric
glacier,ice
glass,silicone
house,bricks
ice,water
icicle,ice
jam,fruit
jeans,fabric
lawn,grass
lens,glass
mirror,glass
money,paper
ocean,water
omelette,eggs
pastry,flour
penny,metal
pill,medicine
plastic,polymer
roof,shingles
sea,water
snow,water
spoon,aluminium
steel,iron
table,wood
wall,cement
water,oxygen
wig,hair
wine,grapes
wire,metal
yogurt,milk
