acrobat,troupe
antelope,herd
bee,swarm
bird,flock
book,library
calf,cattle
car,train
cat,clowder
cattle,herd
christian,congregation
citizen,citizenry
college,university
county,state
cow,herd
crow,murder
division,company
elephant,herd
employee,staff
fish,school
flower,bouquet
galaxy,universe
goose,gaggle
juror,jury
kitten,litter
letter,alphabet
lion,pride
listener,audience
member,club
musician,orchestra
nomad,horde
page,book
parishioner,parish
person,society
photo,album
player,team
policeman,police
secretary,staff
senator,senate
sheep,flock
shrub,shrubbery
singer,choir
soldier,army
song,album
spouse,couple
star,constellation
state,country
student,class
tree,forest
wolf,pack
word,paragraph
