afraid,terrified
angry,furious
ask,beg
bad,awful
boring,tedious
cat,lion
chuckle,laugh
confused,lost
creative,ingenious
cry,scream
damp,drenched
dinner,feast
dislike,hate
doze,sleep
drizzle,rain
excited,agitated
faith,fanatism
giggle,laugh
guilty,remorseful
happy,ecstatic
house,palace
hungry,starving
indulge,pamper
interesting,exciting
irritate,enrage
jog,run
lake,sea
like,love
love,adore
monkey,gorilla
nap,sleep
necessary,essential
opposed,averse
pain,torment
pony,horse
poorly,afflicted
rain,deluge
sad,desparate
sea,ocean
snack,meal
sniffles,pneumonia
soon,immediately
strong,powerful
tasty,delicious
tired,exhausted
unfortunate,tragic
unhappy,miserable
want,crave
warm,hot
well,flourishing
