airplane,aeroplane
auto,car
baby,infant
bicycle,bike
child,kid
cloth,fabric
clothes,clothing
confused,baffled
dollars,bucks
emphasis,accent
father,dad
flower,blossom
harbor,seaport
help,aid
hieroglyph,hieroglyphic
homogeneous,uniform
honest,sincere
identical,same
incorrect,wrong
intelligent,clever
jewel,gem
lad,chap
lady,madam
lazy,indolent
list,listing
loyal,faithful
market,marketplace
mend,repair
mesh,gauze
monument,memorial
mother,mom
murder,slaying
new,modern
obsolete,outdated
organized,arranged
package,parcel
phone,telephone
portion,part
railway,railroad
rational,logical
reasonable,sensible
rock,stone
shore,coast
snake,serpent
sofa,couch
spouse,partner
style,manner
sweets,confectionery
villain,scoundrel
vocabulary,lexicon
