able,unable
abundant,scarce
aware,unaware
beautiful,ugly
big,small
bright,pale
cheap,expensive
clean,dirty
clear,vague
close,distant
colorful,colorless
common,rare
competent,incompetent
concerned,unconcerned
cooked,raw
dangerous,safe
decisive,hesitating
dry,wet
energetic,lethargic
familiar,unfamiliar
fat,thin
full,empty
gaseous,solid
generous,stingy
happy,sad
hard,soft
hot,cold
interesting,uninteresting
introvert,extravert
large,small
long,short
lumpy,flat
noisy,silent
normal,abnormal
organized,unorganized
pale,tanned
rich,poor
sane,crazy
short,tall
simple,difficult
sincere,insincere
slow,fast
sweet,sour
tasty,tasteless
tight,loose
warm,cool
white,black
wide,narrow
willing,unwilling
young,old
