after,before
ahead,behind
anterior,posterior
backward,forward
before,after
beginning,end
below,above
climb,descend
dead,alive
decrement,increment
descend,ascend
dive,emerge
down,up
downslope,upslope
drop,lift
dynamic,static
employ,dismiss
exit,entrance
fall,rise
first,last
forget,remember
forward,backward
front,back
in,out
inbound,outbound
inhale,exhale
input,output
inside,outside
interior,exterior
internal,external
inverse,reverse
mortal,immortal
occupied,vacant
off,on
out,in
outward,upward
over,under
previously,subsequently
proceed,retreat
rise,sink
south,north
southeast,southwest
submerge,emerge
top,bottom
toward,away
true,false
under,over
up,down
uphill,downhill
west,east
